bucket	t	throughput	goodput	batchsize	coldstart	warmstart	coldmodel	models	latency_median	latency_p99	latency_max	warmmodel
141	141.0	9575.166666666666	5071.05	7.602904050158057	0.08333333333333333	5174.966666666666	4.0	204	94.738726	576.565703	6171.012861	116
142	142.0	9349.566666666668	4988.533333333334	7.547227578952641	0.0	5087.683333333333	0.0	194	94.6768125	584.6215621400006	8369.95492	126
143	143.0	9416.033333333333	5242.4	7.599003810724038	0.06666666666666667	5326.2	4.0	194	94.45977	438.08840647000125	14557.223128	124
144	144.0	9524.916666666666	5208.6	7.607794056516031	0.06666666666666667	5311.766666666666	4.0	206	94.532605	659.3934938599425	9175.337661	123
145	145.0	9301.366666666667	4859.15	7.604195412143959	0.03333333333333333	5080.683333333333	2.0	229	95.00025	700.5722960699572	4640.088934	143
146	146.0	9228.433333333332	5132.9	7.607389414472002	0.08333333333333333	5242.066666666667	5.0	203	94.454371	602.5440946999845	7892.731316	132
147	147.0	9227.583333333334	5481.283333333334	7.6339173985544315	0.05	5572.833333333333	3.0	193	94.244009	319.8102389399957	13973.402365	114
148	148.0	9412.25	5414.233333333334	7.632145577069535	0.08333333333333333	5521.133333333333	5.0	196	94.380161	588.468733000001	9658.429658	122
149	149.0	9365.716666666667	5194.733333333334	7.6313380632952335	0.05	5296.75	3.0	221	94.522713	469.78764509999854	8444.91941	126
150	150.0	9806.0	4533.516666666666	7.5739754875672	0.06666666666666667	4878.3	4.0	235	95.002447	486.205361960002	6251.601806	153
151	151.0	9335.45	5641.266666666666	7.631935104354736	0.05	5734.9	3.0	199	94.14412	337.15934721999906	7978.581631	117
152	152.0	9200.966666666667	5641.1	7.655561169091808	0.05	5723.783333333334	3.0	186	94.206051	546.0412054400042	15062.139251	123
153	153.0	9133.766666666666	5847.683333333333	7.638134322083318	0.13333333333333333	5937.583333333333	7.0	192	94.0494635	336.08684525	7286.242774	125
154	154.0	9453.6	5682.666666666667	7.639124169781294	0.15	5794.166666666667	9.0	216	94.1893315	277.09323789999365	12307.529428	135
155	155.0	9377.633333333333	4292.333333333333	7.584821458440663	0.1	4745.2	6.0	257	95.002685	460.11856212002306	13168.802262	167
156	156.0	9358.9	5378.75	7.664573788437814	0.03333333333333333	5465.933333333333	2.0	187	94.3842685	633.9808083600026	4880.940258	105
157	157.0	9493.133333333333	5504.766666666666	7.6519453921052785	0.1	5589.216666666666	6.0	188	94.3402675	672.5128411800006	4930.639109	122
158	158.0	9357.933333333332	5460.983333333334	7.639971017576345	0.06666666666666667	5566.183333333333	4.0	204	94.267282	563.52162225	8946.500364	133
159	159.0	9433.55	5454.916666666667	7.672388476532134	0.03333333333333333	5550.483333333334	2.0	203	94.424281	525.37637356	7276.50191	119
160	160.0	9575.133333333333	5008.25	7.627668387561532	0.08333333333333333	5295.883333333333	5.0	244	95.000285	556.19500409	4543.791004	154
161	161.0	9344.45	5725.166666666667	7.646468487533893	0.1	5824.25	6.0	201	94.096939	462.2315978999919	8475.138641	121
162	162.0	9598.8	5339.65	7.64886312788737	0.06666666666666667	5425.783333333334	4.0	193	94.5483535	419.3788227499994	9099.567433	120
163	163.0	9503.233333333334	5876.0	7.641764735959698	0.06666666666666667	5978.016666666666	4.0	192	94.17948	319.54895901999924	12474.531669	128
164	164.0	9148.133333333333	5364.366666666667	7.598449076852369	0.06666666666666667	5456.516666666666	4.0	199	94.2536015	592.4024346200025	5883.330284	129
165	165.0	9044.516666666666	5243.166666666667	7.599988125278314	0.05	5375.1	3.0	222	94.196883	583.6749609000091	10498.712402	145
166	166.0	8985.5	5289.266666666666	7.62882539382743	0.05	5398.483333333334	3.0	199	94.264811	634.4160411399978	5088.107564	127
167	167.0	9346.083333333334	5462.9	7.632792962091893	0.016666666666666666	5555.7	1.0	186	94.370488	594.2101121999996	9531.318822	117
168	168.0	9094.25	5512.366666666667	7.651646545856366	0.13333333333333333	5627.066666666667	8.0	224	94.075787	562.4927295799905	6665.329062	126
169	169.0	9199.1	5023.65	7.6324665206642495	0.13333333333333333	5192.466666666666	8.0	243	94.564242	538.433149500001	11773.798622	142
